	SLC31A1	SLC31A2	ATP7A	ATP7B	ATOX1	CCS	COX11	COX17	SCO1	SCO2	COMMD1	CUTC	AOC1	AOC2	AOC3	CP	DBH	ENOX1	ENOX2	HEPH	HEPHL1	LOX	LOXL1	LOXL2	LOXL3	LOXL4	MAP2K1	MEMO1	MOXD1	MOXD2P	MT-CO1	MT-CO2	PAM	PARK7	SOD1	SOD3	TYR	TYRP1	AFP	ALB	APP	CUTA	F5	GPC1	LTF	MT3	MT4	PRNP	S100A5	S100A12	S100A13	S100B	SNCA	SPARC
LOXL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7652161485312614	0.0	0.0	0.0	0.6302754921742961	0.5525558864672437	0.0	0.0	0.0	0.7915036653630451	0.0	0.0	0.0	0.45505533151541083	0.0	0.0	0.6420812101341209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3756916645917862	0.0	0.0	0.0	0.0	0.36301013040531427	0.0	0.0	0.0	0.0	0.7292195902519879
LOXL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5136655944045195	0.0	0.5074915850905278	0.6302754921742961	0.0	0.5285313276545197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43695101605880693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8077856994774563
LOXL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3766300995884858	0.5525558864672437	0.5285313276545197	0.0	0.0	0.0	0.0	0.5383854304075281	0.0	0.0	0.0	0.4938262876292664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4433622029756383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5656430726643954	0.4655364538421425	0.0
LOXL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40111503864289605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAP2K1	0.3978062433672662	0.0	0.0	0.0	0.44916476989269094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5200434040844544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36861235329703773	0.3913168494678361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37316759589385123	0.0	0.0	0.0	0.0
MEMO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MOXD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7567920113058261	0.0	0.0	0.7915036653630451	0.0	0.5383854304075281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6101566063589875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35133403003295727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40293431258463763	0.0	0.6263430134051655
MOXD2P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MT-CO1	0.4197844755422147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41222982227296184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7776077035138556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MT-CO2	0.0	0.0	0.0	0.0	0.0	0.43165011417220633	0.0	0.4086550493506186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7776077035138556	0.0	0.0	0.0	0.4853195132469531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5413591800622278	0.0	0.0	0.45505533151541083	0.0	0.4938262876292664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4318670737588902	0.49033505054189436
PARK7	0.0	0.0	0.0	0.0	0.5268509947913927	0.5106354643941168	0.0	0.5102729706641717	0.0	0.0	0.5455993807051145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SOD1	0.0	0.0	0.0	0.0	0.6003525556395233	0.6943474172572819	0.0	0.5554064142884919	0.0	0.0	0.5305455917976852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.368697283445502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4853195132469531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
