,gene_symbol,ID,n.spot,ENTREZID,GENENAME,logFC,AveExpr,FC_AvsC,P.Value,adj.P.Val,sig1.3_codes,A1,A2,A2_R,A3,C1,C2,C3,C4,BP,CC,MF,KEGGpathway,Name,GeneName,abs_fc
352,ZNF394,A_33_P3290085,1,84124.0,zinc finger protein 394,1.003775,9.284005,2.00524,2.564293e-09,1.167873e-07,1,9.81058,9.726799,9.822819,9.739038,8.719903,8.803684,8.791445,8.707664,"GO:0006351 transcription, DNA-templated; GO:0006355 regulation of transcription, DNA-templated",GO:0005634 nucleus; GO:0005634 nucleus; GO:0005654 nucleoplasm; GO:0005737 cytoplasm,"GO:0003700 transcription factor activity, sequence-specific DNA binding; GO:0043565 sequence-specific DNA binding; GO:0046872 metal ion binding",,NM_032164,ZNF394,1.003775
351,ZNF473,A_24_P941376,1,25888.0,zinc finger protein 473,1.00486027523175,7.08635483620126,2.00674913429632,1.6061167274954e-08,6.02498729701755e-07,1,7.60740744153507,7.57525576805641,7.59720167384345,7.5650500003648,6.52862838009503,6.56078005357368,6.57098582126529,6.53883414778664,"GO:0006355 regulation of transcription, DNA-templated; GO:0006369 termination of RNA polymerase II transcription; GO:0006398 mRNA 3'-end processing by stem-loop binding and cleavage; GO:0008334 histone mRNA metabolic process",GO:0005654 nucleoplasm; GO:0005654 nucleoplasm; GO:0015030 Cajal body,GO:0003677 DNA binding; GO:0005515 protein binding; GO:0046872 metal ion binding,,NM_015428,ZNF473,1.00486027523175
431,ZNF652,A_23_P55256,1,22834.0,zinc finger protein 652,-0.933862214991123,9.4069612174136,-1.91038341232942,1.65196954696271e-08,6.16837035457114e-07,-1,8.97833218510291,8.91013269207153,9.03494086975551,8.96674137672413,9.8788517436867,9.94705123671808,9.89044255206548,9.8222430590341,"GO:0006351 transcription, DNA-templated; GO:0006355 regulation of transcription, DNA-templated",GO:0005634 nucleus,GO:0003677 DNA binding; GO:0046872 metal ion binding,,NM_014897,ZNF652,0.933862214991123
461,ZNF837,A_33_P3411427,1,116412.0,zinc finger protein 837,-0.9080567,9.741871,-1.876516,1.963299e-08,7.197872e-07,-1,9.336485,9.363242,9.25947,9.286227,10.19727,10.17052,10.24753,10.27429,"GO:0006351 transcription, DNA-templated; GO:0006355 regulation of transcription, DNA-templated",GO:0005634 nucleus,"GO:0000977 RNA polymerase II regulatory region sequence-specific DNA binding; GO:0003700 transcription factor activity, sequence-specific DNA binding; GO:0046872 metal ion binding",,NM_001129730,ZNF837,0.9080567
372,ZNF256,A_23_P16022,1,10172.0,zinc finger protein 256,0.9749751,7.472702,1.965607,2.93992e-08,1.02441e-06,1,7.992,8.019861,7.92377,7.951631,6.958727,6.930866,6.999095,7.026957,"GO:0006351 transcription, DNA-templated; GO:0007275 multicellular organism development; GO:0045892 negative regulation of transcription, DNA-templated",GO:0005634 nucleus,"GO:0000977 RNA polymerase II regulatory region sequence-specific DNA binding; GO:0003700 transcription factor activity, sequence-specific DNA binding; GO:0005515 protein binding; GO:0046872 metal ion binding",,NM_005773,ZNF256,0.9749751
478,UNKL,A_23_P100141,10,64718.0,unkempt family like zinc finger,0.8949636,9.123033,1.859563,3.200085e-08,1.103176e-06,1,9.596757,9.595541,9.532826,9.531611,8.620068,8.621284,8.685214,8.683998,GO:0000209 protein polyubiquitination,GO:0005634 nucleus; GO:0005829 cytosol,GO:0004842 ubiquitin-protein transferase activity; GO:0004842 ubiquitin-protein transferase activity; GO:0008270 zinc ion binding; GO:0016874 ligase activity,,NM_023076,UNKL,0.8949636
403,ZNF438,A_23_P161156,1,220929.0,zinc finger protein 438,-0.9564358,7.440082,-1.94051,4.28973e-08,1.427085e-06,-1,7.022397,6.983366,6.968262,6.92923,7.862343,7.901374,7.95551,7.916478,"GO:0006351 transcription, DNA-templated; GO:0006355 regulation of transcription, DNA-templated",GO:0005634 nucleus; GO:0005654 nucleoplasm; GO:0005737 cytoplasm,GO:0003677 DNA binding; GO:0046872 metal ion binding,,NM_182755,ZNF438,0.9564358
378,ZNF761,A_24_P941487,1,388561.0,zinc finger protein 761,0.971822254567123,7.52196259201769,1.96131635156999,4.66123876686313e-08,1.52556494701707e-06,1,7.94967563670397,7.98982649278137,8.03760481772822,8.07775567380562,7.08762723938017,7.04747638330277,6.95954720227851,6.99969805835591,"GO:0006351 transcription, DNA-templated; GO:0006355 regulation of transcription, DNA-templated",GO:0005634 nucleus,"GO:0003677 DNA binding; GO:0003700 transcription factor activity, sequence-specific DNA binding; GO:0046872 metal ion binding",,NM_001008401,ZNF761,0.971822254567123
549,ZC3H4,A_24_P220618,1,23211.0,zinc finger CCCH-type containing 4,-0.8547091,9.628896,-1.808394,6.780095e-08,2.121839e-06,-1,9.257535,9.216312,9.22577,9.184548,10.04149,10.08271,10.11448,10.07325,,,GO:0044822 poly(A) RNA binding; GO:0046872 metal ion binding,,NM_015168,ZC3H4,0.8547091
602,ZNF281,A_23_P311087,1,23528.0,zinc finger protein 281,0.8227246,8.784432,1.768743,2.968784e-07,7.927168e-06,1,9.176551,9.220583,9.199715,9.243747,8.376372,8.33234,8.309176,8.353208,"GO:0000122 negative regulation of transcription from RNA polymerase II promoter; GO:0006351 transcription, DNA-templated; GO:0010172 embryonic body morphogenesis; GO:0010629 negative regulation of gene expression; GO:0010629 negative regulation of gene expression; GO:0045892 negative regulation of transcription, DNA-templated; GO:0045892 negative regulation of transcription, DNA-templated; GO:0045893 positive regulation of transcription, DNA-templated; GO:0048863 stem cell differentiation",GO:0005634 nucleus; GO:0005654 nucleoplasm,"GO:0000978 RNA polymerase II core promoter proximal region sequence-specific DNA binding; GO:0001047 core promoter binding; GO:0001078 transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding; GO:0003700 transcription factor activity, sequence-specific DNA binding; GO:0003714 transcription corepressor activity; GO:0005515 protein binding; GO:0043565 sequence-specific DNA binding; GO:0044212 transcription regulatory region DNA binding; GO:0046872 metal ion binding",,NM_012482,ZNF281,0.8227246
